Submission Title,Submission Url,Project Status,Judging Status,Highest Step Completed,Project Created At,About The Project,"""Try it out"" Links",Video Demo Link,Desired Prizes,Built With,Notes,Team Colleges/Universities,Additional Team Member Count,"Does Your Hack Need To Stay At Your Current Table? (I.E. Hardware, Vr/Ar Hacks That Are Difficult To Move.) If So, What Table Number Are You At?"
F.R.I.C.K DOTS,https://bitcamp2022.devpost.com/submissions/320714-f-r-i-c-k-dots,Submitted (Gallery/Visible),Pending,Submit,04/10/2022 01:12:11,"After receiving an $80 parking ticket, I was determined to create a program that is able to detect parking police that is able to pay for additional parking if it is needed. This script detects if additional parking is needed to ensure that you DO NOT receive a ticket.

What it does

This script detects if the video camera detects a truck and then detects if the truck is RED. If the image detected is a RED Truck, it determines that it is a RED truck and pays for additional parking to ensure that the car does not receive a ticket. 

How we built it

As a business major and someone that has only been coding for 7 months prior to this project, this was a difficult project to create. It primarily involved using ImageAI and OpenCV to detect whether the truck that was detected is a red truck. If the truck that was detected was a red truck, then it calls the ParkMobile API to pay for additional parking. 

Challenges we ran into

Primarily, the challenge that I ran into was detecting the truck. Since this is my first time using anything beyond Numpy, this was a  very difficult project to build since it involved the Open CV and ImageAI Library. Primarily, this project was difficult to produce it involved skills that I had to get learned yet. 

Accomplishments that we're proud of

Honestly, I am proud of building this project. Many people doubted that I would be able to complete this project since I was a business major and was not trained in comp-sci. Therefore, the fact that I was able to complete this is an accomplishment in itself. Moreover, since I am only 7 months in my Python journey, the fact that I am able to build this in the time allotted is a very important achievement for me. 

What we learned

What I learned is the importance of the Numpy, Pandas, and TensorFlow Library. These libraries have so much importance to the broader society. Moreover, these libraries are able to accurately predict whether you are about to get a parking ticket. 

What's next for F.R.I.C.K DOTS

This project is able to detect whether the parking truck enter the parking lot. If the truck enters the parking lot, it will be able to detect unpaid parking spots for unpaid users. This will enable users to park at spots while only paying for the minimimmum amount of time required to avoid paying for a ticket. =
",https://colab.research.google.com/drive/1OQP82K4ZwMAL-h4UkgKhD9uSTjy9DGfq?usp=sharing,,"Best Razzle Dazzle Hack - Bitcamp, Best Moonshot Hack - Bitcamp, Best Social Good Hack - Bitcamp, Best DIY Hack - Bitcamp, Best ""Bitcamp"" Hack - Bitcamp, Best First Time Hack - Bitcamp","python, imageai, opencv, numpy, pandas, matplotlib",,University of Maryland - College Park,0,N/A
HAVA Hotspot,https://bitcamp2022.devpost.com/submissions/320721-hava-hotspot,Submitted (Gallery/Visible),Pending,Submit,04/10/2022 01:27:34,"Inspiration

Perhaps no technology in modern history has been as transformative as the internet. It has revolutionized how we access and share information. However, in many places around the world, internet access is still not readily available. Of course, in many cases, a lack of infrastructure prevents access, but in others, even where the infrastructure is there, internet access is prohibitively expensive. We wanted realize an idea which solves this issue by decentralizing and democratizing internet access for all.

Enter HAVA

Users can connect to HAVA access points, or Hotspots, where they can pay for internet access using HAVA tokens, which they can obtain from a smart contract by converting Ethereum. Where do these hotspots come from? Well, from anyone. Any user with an internet connection and a computer can become a HAVA Hotspot by configuring their computer to act as a router. But how can the HAVA Hotspot provider ensure that they are paid for the access they provide, and how can the user not only ensure that they get the internet they pay for, but also that they can make a payment before they have internet access? All these problems are addressed with an unique and innovative application of Blockchain technology. At the core is a Smart Contract for the Ethereum network written in Solidity. This smart contract mediates the interaction between the user and host. (See Technical Section for additional detail.)

The use of blockchain and smart contracts enables this entire process of WiFi sharing to be decentralized and separate from any 3rd party intermediary, thereby drastically lowering costs and barriers to access.

How we built it

The Smart Contract:
When the user first attempts to make a connection, they sign a transaction message that locks a portion of their funds in the smart contract for a given period of time, roughly the time that they wish to connect. The user sends this signed message over LAN to the host, who then broadcasts the transaction on the Blockchain. When the host sees that the transaction is confirmed, the initial setup is complete. The user can agree to purchase a small allocation of data using the funds in their wallet. To do so, they sign a message indicating an intention to pay the host an amount of HAVA token corresponding to the data they wish to use. The host then grants them internet access for a certain amount of data that the user is able to track. To continue their internet connection, the user must continuously send messages that update their willingness to pay. If the user does not send such a message when their data is up, the host can add their signature to the last message the host sent, broadcast a transaction to the blockchain, and claim the funds the user agreed to pay. The rest of the funds in the contract are then sent back to the user. This method essentially means that the user is able to pay as they go, and if any party backs out of their end of the deal, the other party can immediately cease the relationship and walk away with what they are owed. It is also important to note that only the first and last messages are broadcast on the blockchain; everything else is strictly between the host and the user. This methodology of using time-locked contracts and multi-signature transaction messages results in a greater than 50% reduction in gas fees from our own testing.

The Router: We used openNDS to serve the captive portal that users are redirected to upon connecting to a HAVA Hotspot. Ndsctl is used for authenticating and deauthenticating users based on whether or not they have paid for access. When users first connected to the Hotspot, they are placed into a “Pre-authentication” state where they are redirected to our custom captive portal. From there they can interface with the smart contract

The App: To connect users in need of Wi-Fi to HAVA Hotspots, we built an opt-in system for HAVA Hotspots host to share their locations. This infrastructure, by virtue of the kind of data it contained, had to be centralized off chain. Our entire off-chain mobile infrastructure was powered by CockroachDB Serverless. We utilize the SQL database to quickly store and retrieve the coordinates of hotspots near the user. This information is piped directly into our mobile application allowing users to view the hotspots near them on a map. 

Challenges we ran into

Our journey at Bitcamp 2022 was riddled with challenges. Simply configuring our computers to act as hotspots proved to be challenging. Code that worked one minute would without cause or warning stop working the next. At its core we realized that widespread support across multiple systems was unfeasible at this timescale. We pivoted to targeting a single device and internationally chose the cheapest internet enabled computer we could get our hands on, the Raspberry Pi. While in the end we were successful, getting this aspect of the project was certainly one of the most stressful and difficult to accomplish.

What we learned

Our project heavily relied on the blockchain to enable secure offline transactions and ensure our project was truly decentralized. Learning to write and interact with smart contracts written in Solidity was a challenge for our team. None of us were particularly experienced with the blockchain but we shared a common interest and desire to learn more. As a group we researched and collaborated to teach ourselves the basics and challenged each other’s security notions to ensure our contract was both safe and secure.

What's next for HAVA Hotspot

Our mission of democratizing access to the internet is at the forefront of our roadmap. We started with a cheap raspberry pi, but we want to make HAVA Hotspots even more accessible. Over the course of the hackathon we made major progress towards supporting windows and ubuntu systems. Enabling these devices to become Hava Hotspots will enable even more people across the world to become an ISP. This next step is in perfect alignment with our mission because the more devices we can support, the more HAVA Hotspots will exist and the more democratic internet access will become.
","https://hava.kihtrak.com/, https://github.com/KihtrakRaknas/HAVA, https://github.com/Yin4TheWin/bitcamp22-mobile",https://youtu.be/nw9KwqRjy-c,"Best Hardware Hack - Bitcamp, Best Educational Hack - Bloomberg, Best Moonshot Hack - Bitcamp, Best Social Good Hack - Bitcamp, Best Open Source Hack - Bitcamp, Best ""Bitcamp"" Hack - Bitcamp, Best Domain Name from Domain.com - MLH, Best First Time Hack - Bitcamp, Best UI/UX - Bitcamp , Best Use of CockroachDB Serverless - Cockroach Labs","solidity, cockroachdb, react, react-native, express.js, node.js, expo.io, raspberry-pi, blockchain, web3",,"University of Maryland - College Park, Rutgers, The State University of New Jersey",3,Yes; TBD
Proactive Prescriptions,https://bitcamp2022.devpost.com/submissions/320732-proactive-prescriptions,Submitted (Gallery/Visible),Pending,Submit,04/10/2022 01:43:34,"Inspiration

BitCamp2022

What it does

Our product dispenses a pill using a combination of stepper and servo motors. It also contains an ultrasonic sensor to detect whether the pill has been taken or not. This dispensary then communicates with a web application where patients or caregivers can sign in to see whether the pill was taken. 

How we built it

We built the hardware portion using servo and stepper motors, an ultrasonic sensor, and an arduino. We built the base using whatever we could steal from around the building. thanks m&t bank 

Challenges we ran into

We had trouble setting up the backened using Node.js and establishing communicatino between our javascript and our Arduino code. 

Accomplishments that we're proud of

This is our first hackathon, so we are proud to have built both a hardware and software side of the project.

What we learned

We learned a lot of things about node.js, circuitry, and the design process.

What's next for Proactive Prescriptions

We would like to be able to move the web application into an app using android studio to allow for easier use. We would also like to be able to our arduino code with our app so it can update in real time.
","",,"Best Hardware Hack - Bitcamp, Best DIY Hack - Bitcamp, Best First Time Hack - Bitcamp","javascript, css, html, node.js, c++, arduino, servo, hardware",,"University of Maryland - University College, University of Maryland - College Park, University of Marlyand",3,"Yes, D"
FatCheck,https://bitcamp2022.devpost.com/submissions/320749-fatcheck,Submitted (Gallery/Visible),Pending,Submit,04/10/2022 02:10:41,"Inspiration

It's always a hassle to figure out how much everyone has to pay, who to venmo, how to account for taxes, tips, etc. We wanted an easy way for this to be figured out.

What it does

Simply snap a picture, generate a QR code, scan it, then select what each person purchased.

How we built it

The app was built with Flutter!

Challenges we ran into

This was the first time developing an app for most of our team members. We had to learn how everything worked from the ground up.

Accomplishments that we're proud of

A working, functional app!

What we learned

A lot about android app development!

What's next for FatCheck

Integration with zelle/venmo/other payment systems directly to automate the payment requests.
","",https://youtu.be/YhaDOFm9_zU,"Best Moonshot Hack - Bitcamp, Best First Time Hack - Bitcamp, Best UI/UX - Bitcamp ","flutter, sqlite, python, dart, flask",,"Johns Hopkins University, University of Maryland - College Park, Columbia University in the City of New York",3,""
Bytegotchi,https://bitcamp2022.devpost.com/submissions/320752-bytegotchi,Submitted (Gallery/Visible),Pending,Submit,04/10/2022 02:21:25,"Inspiration

We were inspired by the traditional Tamagotchi toys from the 90's and 2000's, as well as our love for cats and the Bitcamp ""Marshie"" mascots.

What it does

It is a Tamagotchi-style program with 4 external inputs: a joystick and 3 buttons. Players can select one of the 3 ""Marshie"" mascots to take care of. They can control their Marshie and feed/wash it using the joystick and buttons. They can also send it to fight, where they can command it to attack, heal, or flee. If the player doesn't take care of the Marshie or if it takes too much damage in battle, it dies and the player must start over.

How we built it

We utilized an Arduino Uno and a breadboard, along with a joystick module and 3 buttons. These were wired together and the Arduino was connected to our computer using a USB cable, establishing a serial data connection. The main Tamagotchi program was made with Processing, which is a version of Java that allows for simple image/shape displaying.

Challenges we ran into

We had several challenges throughout the build process.
Our first issue was connecting the Arduino to the Processing code, which we solved by transmitting the data from the joystick/buttons as serial data.
Another issue we faced was that the controls were slightly uncomfortable to use. We fixed this by rearranging the buttons and mounting the joystick on an empty drink cup.
One major challenge we faced was that button presses were being counted multiple times, causing actions to happen more than once. We mitigated this by adding a delay to reading the button inputs.
Another major roadblock was implementing the battle system.

Accomplishments that we're proud of

We are all very proud of the work we were able to accomplish in 36 hours. We were able to connect hardware to software via Arduino, Processing, and serial data transmission. We also constructed the physical board and wired it. Programming the game in Processing is another accomplishment we are proud of.

What we learned

We learned about serial data transmission, Arduinos, Processing, game development, and innovation.

What's next for Bytegotchi

Adding more detailed animations, fleshing out the battle system, adding more depth to taking care of the Marshie.
",https://github.com/wolr210/Bytegotchi,https://youtu.be/4ARG5bHolIw,"Best Hardware Hack - Bitcamp, Best Gamification Hack - Bitcamp, Best First Time Hack - Bitcamp","processing, arduino, c++, java",,University of Maryland - College Park,3,"Prefer to stay on table O, but will move if needed."
UMD Maps 2.0,https://bitcamp2022.devpost.com/submissions/320755-umd-maps-2-0,Submitted (Gallery/Visible),Pending,Submit,04/10/2022 02:30:35,"Inspiration

As a transfer student, it was hard to find my way around the campus, even with the help of Google Maps. As a result, I teamed up with my friend to create a tool that would help other UMD students to find their way around campus so that they can save time.

What it does

UMD Maps 2.0 takes in your course schedule as input and outputs a Google Maps route to help you get from class to class in a quick and easy manner.

How we built it

This app uses Python, Streamlit, umd.io API, Google Maps API, Git, Github, and VS Code Liveshare

Challenges we ran into

While building this app, we realized that there were a lot of gaps in the database for the umd.io API and also, the documentation was not the clearest. However, we were able to troubleshoot our way through these bugs, partially with the help of the mentors!

Accomplishments that we're proud of

This was the first time that we built a web app and worked with multiple APIs.

What we learned

We learned about using multiple APIs and how they interact with each other. We also learned how to embed files on our web app.

What's next for UMD Maps 2.0

We hope to move into the backend and implement a login feature and save your course data for future use.
","https://github.com/roklubstuh/UMD_Maps, https://share.streamlit.io/roklubstuh/umd_maps/main/schedule.py, https://github.com/roklubstuh/UMD_Maps, https://share.streamlit.io/roklubstuh/umd_maps/main/schedule.py",,"","python, streamlit, google-maps, umd.io, html5, github, git, vscode",,"Falls Church High School, University of Maryland - College Park",1,""
League of Legends Trivia Game,https://bitcamp2022.devpost.com/submissions/320761-league-of-legends-trivia-game,Submitted (Gallery/Visible),Pending,Submit,04/10/2022 02:39:51,"Inspiration

We were inspired by the hit-game Wordle, as we were amazed at how such a simple game could be so addictive. Thus, we decided to have the game follow the daily new puzzle format. We also decided to make our Trivia game League of Legends related because we recognize that it's a really popular game with a dedicated fanbase. 

What it does

The game is a website-based trivia guessing game where a new League of Legends related term is generated everyday. Players have three guesses to get the word correct, and after each guess a new clue is revealed about the term. There's three different categories of which the term could fall in: champion, ultimate ability, and item. The game also tracks various statistics about the player's performance, such as the player's win rate and longest win streak. 

How we built it

We had a HTML/CSS (+ Bootstrap)/JS frontend, and a Node.JS/Express JS/Cockroach DB backend. We wanted a distinct front-end and back-end so that we can each work on a portion of the app at the same time without any conflicts. The backend is responsible for generating the daily word and clues. The clues are extracted from the Riot API and some are also web scraped from the League of Legends wiki using Puppeteer. The master list of the League of Legends terms are stored in the Cockroach DB, along with a field that keeps track of whether the term has been used for not. We were able to utilize this field to create fast queries to generate a new random word that has not been used before, while also utilizing the external nature of a database to prevent loading lots of data in the front end. We created an API endpoint in Node.JS using Express to allow the JS in our front end to request the information generated in the back end. The JS in our front end handled most of game logic, and utilized Bootstrap to make our game mobile responsive. 

Challenges we ran into

Setting up the Cockroach DB was definitely a challenge for us, as we didn't have much experience with using databases. However, through looking at documentation examples and Youtube videos, we were able to set it up and utilize Sequelize to help us make queries with the database. Another difficulty we ran into was web scraping for some of the clues in the backend, as some of the information we needed didn't fit a obvious pattern we could utilize. We managed to solve this through using a series of interesting Jquery selectors. 

Accomplishments that we're proud of

For one of us, it was his first time doing web development, so just being able to help in developing this whole website and working with software he has never worked with before was a huge accomplishment. We are also proud of just being able to develop a full stack app, as neither one of us had much experience in it.

What we learned

One of the things we learned was just what a general structure of a full stack app looked like and how the front-end and back-end are able to communicate with each other. We also got to experience using Cockroach DB, which was something new for both of us.

What's next for League of Legends Trivia Game

There's currently a small bug for the item words, so that would probably be our first priority. After that, we would want to refine it so that it is ready to be published live and played by anyone. 
",https://github.com/Kaidriver/BitcampProj2022,https://youtu.be/Nv-A4YiJUVA,"Best Use of Data in an Application - Two Six Technologies, Best First Time Hack - Bitcamp, Best Use of CockroachDB Serverless - Cockroach Labs","html, css, javascript, node.js, express.js, cockroachdb, riot",,University of Maryland - College Park,1,No
Nintendo Dual Screen Physics Project Submission Post,https://bitcamp2022.devpost.com/submissions/320772-nintendo-dual-screen-physics-project-submission-post,Submitted (Gallery/Visible),Pending,Submit,04/10/2022 03:11:31,"Inspiration

The Nintendo DS is one of the most delightful handheld systems ever produced, and its development libraries are right there, so we wanted to take the opportunity to explore how writing software for such a unique platform worked.

What it does

Click and drag on the bottom screen to send vividly red squares careening across the top screen, seamlessly and realistically bouncing off of one another in the most exciting gameplay of the year. Scroll around the screen with the D-pad to explore the black void that is yours to shape in your image.

How we built it


libnds C development libraries from devkitPro
Custom Python toolchain for linking image files and palettes
Physics API layered over devkitPro


Challenges we ran into

The DS doesn't natively support floating point arithmetic, and their fixed point arithmetic can be very unwieldy; in order to support a moving camera, we needed to translate between two coordinate systems, and the math involved required error-prone back-and-forth conversion. This is just one example of some bizarre hardware quirks the DS has that makes it both fascinating and frustrating to program.

We also had many issues with getting our physics engine working. It turns out physics is not super easy. Who knew?

Accomplishments that we're proud of


We created a very robust build pipeline using Makefiles and custom Python pre-processing that let us set up an iterative development flow fairly early on.
We came up with a custom binary format to represent images and color palettes that could be integrated into the libnds API very easily.
We came up with a flexible and robust way to manage an environment juggling many different game structures.
Frankly it's a miracle any of this compiled at all


What we learned

What's next for Nintendo Dual Screen Physics Project Submission Post
",https://github.com/Spirati/bitcamp22,,"","devkitpro, libnds, c, python",,Baltimore Polytechnic Institute,1,""
Untitled,"",Draft,Pending,Manage team,04/10/2022 03:14:12,"","",,"","",,"",0,""
 Buttons for Dining Hall,https://bitcamp2022.devpost.com/submissions/320780-buttons-for-dining-hall,Submitted (Gallery/Visible),Pending,Submit,04/10/2022 03:23:55,"Inspiration

Wanted to try something knew since it was our first hackathon and didn't know what to do. Wanted to try and learn a new language in 36 hours. Wanted to make/ incorporate something we use/do, which was eating at a dining hall.

What it does

It was supposed to pull up each day  dining hall food for each diner and tell what is being served. Later on we wanted to add notifications and filters where you can check if it’s vegetarian/vegan/chicken etc.

How we built it

We wanted to know what would be the best platform to make it on and we concluded that it was flutter. 
Watched tutorials and videos on how to use the software and try to incorporate  what we wanted to do. 

Challenges we ran into

Learning something completely new in 36 hours is really hard, like really hard. But we wanted to challenge ourselves and try something we didn't know previously. Getting used to the syntax, and understanding on what the platform runs was hard to grasp at first because the learning curve is really high at that point. 

Accomplishments that we're proud of

We're proud that we decided to do this and not something we previously done before. It made us mad at sometimes but we persevered and did the best we could with our abilities. 

What we learned

Even though we couldn't really finish what we wanted to do, we're still gonna try to learn and still grow and finish what we have started. Learning a new language or anything in general can be very hard at sometimes but if you have the mindset of knowing you want to do it, then anything is possible. 

What's next for  Buttons for Dining Hall

Finish our idea and acting more filters such as a nutrients sections
",https://github.com/ricky3411/umd_dining,,"Best DIY Hack - Bitcamp, Best First Time Hack - Bitcamp","flutter, vscode",,University of Maryland - College Park,2,""
TrackStar,https://bitcamp2022.devpost.com/submissions/320781-trackstar,Submitted (Gallery/Visible),Pending,Submit,04/10/2022 03:29:35,"Inspiration

A browser game with similar game logic called binb.co.

What it does

Compete with your friends to be the first to guess the title and artist of popular songs.

How we built it

Flutter for the frontend, NodeJS for the backend, communicating with JSON over websockets. The server is deployed on a DigitalOcean droplet.

Challenges we ran into

It was challenging keeping the UI in sync with the various concurrent changes from the server. The Spotify API also has many frustrating quirks we had to work around.

Accomplishments that we're proud of

We did a great job of planning between the backend and the frontend. At the start of Bitcamp, we were quickly able to think of a game idea, and plan out the various states and messages the frontend and backend would need to communicate with. This allowed us to split the work efficiently without having to constantly adapt to changes between the two teams.

What we learned

We learned a lot about Flutter, NodeJS, concurrent programming, and how to work on a project as a team.

What's next for TrackStar

Fixing all the bugs we avoided showing you in the demo ;)
",https://github.com/JMS55/trackstar,,"Best Razzle Dazzle Hack - Bitcamp, Best ""Bitcamp"" Hack - Bitcamp, Best UI/UX - Bitcamp ","flutter, node.js, spotify, digitalocean, android-studio",,University of Maryland - College Park,2,No
The Hero 8,https://bitcamp2022.devpost.com/submissions/320786-the-hero-8,Submitted (Gallery/Visible),Pending,Submit,04/10/2022 03:37:28,"Inspiration

We wanted to follow the theme leading to the thought of the joke ""seven ate(eight) nine"". Basing our game off the idea of 8 saves 9 from 7

What it does

The program moves enemies toward our heroes. Once they collide the enemies disappear.
Much like Plants v.s. Zombies, the Princess Nines are what we are protecting, our Hero Eights are the protagonist, and the Seven Gremlins are the villains trying to eat the nines. 

How we built it

We used a combination of Unity 2D game engine and C# to program it.

Challenges we ran into

One team member switched projects mid-way through the hackathon and we also experienced a lot of technical difficulties involving the wifi.

Accomplishments that we're proud of

We're proud of the art, lighting, good visual demo, and music. 

What we learned

We learned to better use our time because that was a major struggle within our group. We wanted to participate in the events and workshops but the technical difficulties made time management hard for us.

What's next for The Hero 8

We hope to make a playable prototype, and maybe continue it in our next jam.
",https://github.com/GoldShortCodes/The-Hero-8,,"Best Razzle Dazzle Hack - Bitcamp, Best Moonshot Hack - Bitcamp, Best ""Bitcamp"" Hack - Bitcamp","unity, c#",,Baltimore Polytechnic Institute,2,""
BALLOONS,https://bitcamp2022.devpost.com/submissions/320788-balloons,Submitted (Gallery/Visible),Pending,Submit,04/10/2022 03:40:05,"Inspiration

The Ukrainian conflict and the idea of making a missile defense system.

What it does

Tracks a falling balloon through the air using opencv. Masking out all other objects that are not the same color as the balloon and drawing a moment around the balloon and using that to determine its center. A linear regression was ran to predict the path of the balloon which is then popped by a modified nerf bullet shot out of a flywheel based turret. 

How we built it

Most of the hardware for the turret was 3D printed. We used Python's OpenCV module for the object detection.  Through HSV filtering we were able to obtain an accurate outline of each target, from there we calculated the X and Y moments to find the approximate center of the target. We then created an algorithm built around a moving linear regression with filtered kinematic values to predict the position and time of the target. C++ and PySerial was then used with an Arduino to control the servos and motors on the turret.

Challenges we ran into

One of the biggest challenges we ran into was finding the depth of the balloon. To solve this we were able to measure the pixels/in of the plane for which we dropped the ball and used this value to get a depth approximation of the balloon. Additionally, we ran into massive problems with the consistency of the bullet's that we shot. First, we tried 3D printed bullets however these were not top heavy enough despite varying the infill percentage which meant that they wouldn't stay straight as they flew and therefore could not pop a balloon consistently. We then moved to using cheap Nerf bullets. However, these were incredibly inconsistent from bullet to bullet so we had to go through extensive testing on a stationary target to pick out around 10 bullets that work well with our sentry turret. 

Accomplishments that we're proud of

We are proud of our ball detection algorithm as we're able to filter out essentially all noise to get an accurate reading of where the ball is. Additionally, our regression model to predict the trajectory of the balloon was fairly accurate.

What we learned

We learned several different techniques for finding the distance of an object from our system, like using two different cameras to triangulate the objects position and measuring the pixels per inch of our backdrop so we could estimate the position of our object relative to that, which we could use to convert our digital coordinates into real world measurements.

What's next for BALLOONS

We will look into improving the accuracy of our turret and regression model so we can start hitting the balloons more consistently. Once that is finished, we will need to improve our magazine so it can effectively store and shoot multiple bullets in rapid succession. 
","",https://www.youtube.com/watch?v=KrM3xpigQh4,"Best Hardware Hack - Bitcamp, Best Razzle Dazzle Hack - Bitcamp, Best First Time Hack - Bitcamp","python, arduino, c++, opencv, pyserial, numpy, psipy",,University of Maryland - College Park,3,Yes. We are at the table off to the side near the Toyota sign. Look for the blue hanging blanket.
Charity Ninja,https://bitcamp2022.devpost.com/submissions/320797-charity-ninja,Submitted (Gallery/Visible),Pending,Submit,04/10/2022 04:02:41,"Inspiration

We were inspired by many technical projects that deal with spreading awareness of social injustice that happens in our society daily. We decided to create an app where users find and donate to the top rated financially healthy charities because some donors usually give back to charities that use a large percentage of the donated money for administrative purposes.

What it does

-An app that serves as a hub for all things charity.
-It allows users to find and donate to the top rated financially healthy charities and/or those charities based on your preferences every month. 
-See volunteer opportunities or charitable events.

How we built it

We used Figma to help build the prototype.

Challenges we ran into

The challenge we ran into was being able to  make the app function well. However, we figured it out, and now, it works fine.

Accomplishments that we're proud of

We are proud that the app turned out to look amazing and function well. 

What we learned

We learnt more in depth about financial health when it comes to donating to charities.

What's next for Charity Ninja

We hope to further work on this app by adding more features.
","https://www.figma.com/file/C3wSMku9A2N6g8SvMNAyPk/Charity-Ninja?node-id=0%3A1, https://docs.google.com/presentation/d/1ZuYcks5GX0Gr2m6kj62AqAw7tOw8hn6D2ep99Zx8U6Q/edit?usp=sharing",,"Best Gamification Hack - Bitcamp, Best Social Good Hack - Bitcamp, Best UI/UX - Bitcamp ",figma,,University of Maryland - College Park,2,""
Fyndr,https://bitcamp2022.devpost.com/submissions/320800-fyndr,Submitted (Gallery/Visible),Pending,Submit,04/10/2022 04:06:23,"Inspiration

We thought about how much of a hassle it is to find the origins of pictures through google images. We wanted to write a program that would find the original versions of photos, but our focus shifted as we coded. When we realized how great replacing existing photos instead could be, we knew what we had to do. 

What it does

It is a Chrome extension, that when clicked in the toolbar opens a pop up featuring a button. When clicked, the button opens a file prompt to choose an image from the users' hard drive. Once an image is uploaded, it tracks down every image on the page the user is viewing and replaces the source with the users' image. It does this at an interval so if more images are loaded, they will be replaced as well. Using the options menu, users may change the button color too.

How we built it

Using html, javascript, and css we built this extension from the ground up. Javascript was our primary language, and we coded in VSCode. We used Windows 11 and Debian, and stored everything on GitHub.

Challenges we ran into

As we worked, we realized our original goal would be a more difficult undertaking than originally envisioned. However, while coding we found the inspiration for our new idea. One challenge was learning how to save images to chrome so the program could access them later. Our hardest challenge was running the interval. At first, we wanted it to run constantly and replace images on every page the user opened. However, we settled for making it run on a page after the user inserts an image. 

Accomplishments that we're proud of

Making it work.

What we learned

Making Chrome extensions is hard.

What's next for Fyndr

We will allow the user to save as many images as they want, and let the program run constantly on all web pages and custom set intervals. Once we have done this, we will pursue our original vision, creating a program far better than we had every dreamed.
","https://github.com/Brissot/Fyndr, https://github.com/Brissot/Fyndr/releases",https://youtu.be/AsjTqbNdWMc,"Best Razzle Dazzle Hack - Bitcamp, Best Social Good Hack - Bitcamp, Best Open Source Hack - Bitcamp, Best First Time Hack - Bitcamp","javascript, css, json, html",,University of Maryland - College Park,1,""
What's Cookin?,https://bitcamp2022.devpost.com/submissions/320802-what-s-cookin,Submitted (Gallery/Visible),Pending,Submit,04/10/2022 04:11:40,"Inspiration

We were inspired to attempt to tackle this problem as it was something we wish existed within UMD. The technology we wanted to use was inspired by a workshop that Vaibhav and Navid had the honor of hosting during bitcamp, “Introduction to flutter.” After the workshop they held we all were interested and curious to bring our newfound knowledge of flutter to life. Aiming to create a tangible project that we saw could be an assist during our time here at UMD. 

With that said this is a very personal project to us. Vaibhav, being a vegetarian, Alexander having a seafood allergy, and myself being gluten-free, having the luxury to eat whatever wherever is not an option. So, we set out to try and solve something that would impact us and presumably others with food restrictions/diets. 

What it does

This is a mobile application that displays the daily updated menu (Breakfast, Lunch, Dinner) for the current 3 UMD dining halls around campus (South diner, The Diner, and 251 North). Each diner traditionally has its own daily menu which varies from diner to diner. Users may filter to their diner of preference and see a live update of the menu. Furthermore, the functionality that we wanted to highlight is its versatility in being able to filter diner menu options for people with dietary restrictions. We found that many times (from personal experience) the trip made to the dining hall was not worth it as the limited selection of food items available to our diets was not worth the trip. Thus, we aimed to tackle the challenge of being able to keep terps connected and updated in a compact and reliable way as to what food was available to them. And what better way to do this than a mobile app. 

How we built it

We used flutter to build the mobile front end of the application. Then, we used the Cockroach Database supported by Google Cloud to store meal data that was taken from the UMD dining menu website. Then we queried the database with SQL from within the app and displayed it. The app also provides filters to specify which types of food one is seeking. 

Challenges we ran into

We ran into a major optimization issue where we were parsing too many strings coming in which was damaging our time complexity. This was one of the biggest challenges we had to overcome, as we had to find a way to work around optimizing the data provided by the cockroachDB and the UMD website. We were able to overcome this issue. 

Accomplishments that we're proud of

Honestly, we are very proud of ourselves for sticking through and working hard throughout the hackathon. We think one of the biggest obstacles was working in an unfamiliar environment and still being able to work together and submit. 

What we learned

The importance of working together. We think that without one another we would have not gotten as far as we did (submit day). Everyone was there for one another, whether someone needed a break, help, or just needed to talk. We also were very happy throughout this as we were surrounded by people who were passionate to learn but also brought the mood up.

What's next for What's Cookin?

We plan to optimize and refine our app so the link between title and our scraper is as efficient as possible. This way we can update and make the app even more practical with functionality that we really wanted to dedicate time to. We would love to see this be an asset to the community. We plan to launch this app in the play store by April 17th. And we hope others will find use for it just like we will. 
",https://github.com/VaibhavSanjay/dining_plan,https://youtube.com/shorts/8Js__TX1WnE?feature=share,"Best Social Good Hack - Bitcamp, Best First Time Hack - Bitcamp, Best Use of CockroachDB Serverless - Cockroach Labs","cockroachdb, python, sql, flutter, dart, beautiful-soup, requests, json, google-cloud",,University of Maryland - College Park,3,No.
